Frame	Timestamp(s)	VAD_Score	VAD_Result
342	5.472	0.791684	1
343	5.488	0.793819	1
344	5.504	0.784939	1
345	5.520	0.780957	1
346	5.536	0.773495	1
347	5.552	0.736475	1
348	5.568	0.782669	1
349	5.584	0.796420	1
350	5.600	0.826708	1
351	5.616	0.874553	1
352	5.632	0.846734	1
353	5.648	0.831327	1
354	5.664	0.792629	1
355	5.680	0.757867	1
356	5.696	0.768571	1
357	5.712	0.784353	1
358	5.728	0.758822	1
359	5.744	0.780990	1
360	5.760	0.780668	1
361	5.776	0.746956	1
362	5.792	0.740852	1
363	5.808	0.795653	1
364	5.824	0.767243	1
365	5.840	0.748211	1
366	5.856	0.767695	1
367	5.872	0.773736	1
368	5.888	0.808614	1
369	5.904	0.825512	1
370	5.920	0.781193	1
371	5.936	0.769389	1
372	5.952	0.784653	1
373	5.968	0.787945	1
374	5.984	0.784423	1
375	6.000	0.779256	1
376	6.016	0.791201	1
377	6.032	0.737005	1
378	6.048	0.824749	1
379	6.064	0.814644	1
380	6.080	0.810857	1
381	6.096	0.823368	1
382	6.112	0.797845	1
383	6.128	0.736044	1
384	6.144	0.751451	1
385	6.160	0.759137	1
386	6.176	0.749069	1
387	6.192	0.754345	1
388	6.208	0.763646	1
389	6.224	0.803642	1
390	6.240	0.836892	1
391	6.256	0.818268	1
392	6.272	0.811651	1
393	6.288	0.787147	1
394	6.304	0.829992	1
395	6.320	0.803803	1
396	6.336	0.762066	1
397	6.352	0.774414	1
398	6.368	0.779422	1
399	6.384	0.756809	1
400	6.400	0.814357	1
401	6.416	0.758018	1
402	6.432	0.778924	1
403	6.448	0.785575	1
404	6.464	0.787564	1
405	6.480	0.795063	1
406	6.496	0.837792	1
407	6.512	0.833533	1
408	6.528	0.795638	1
409	6.544	0.775851	1
410	6.560	0.794502	1
411	6.576	0.771898	1
412	6.592	0.781087	1
413	6.608	0.766794	1
414	6.624	0.784941	1
415	6.640	0.778287	1
416	6.656	0.766643	1
417	6.672	0.776442	1
418	6.688	0.765343	1
419	6.704	0.778904	1
420	6.720	0.801047	1
421	6.736	0.789038	1
422	6.752	0.793593	1
423	6.768	0.800252	1
424	6.784	0.805370	1
425	6.800	0.802850	1
426	6.816	0.796828	1
427	6.832	0.804758	1
428	6.848	0.807895	1
429	6.864	0.828062	1
430	6.880	0.792725	1
431	6.896	0.797980	1
432	6.912	0.810072	1
433	6.928	0.798220	1
434	6.944	0.763946	1
435	6.960	0.851321	1
436	6.976	0.800980	1
437	6.992	0.810738	1
438	7.008	0.833943	1
439	7.024	0.781178	1
440	7.040	0.776933	1
441	7.056	0.736921	1
442	7.072	0.742645	1
443	7.088	0.751541	1
444	7.104	0.774572	1
445	7.120	0.781356	1
446	7.136	0.805412	1
447	7.152	0.740272	1
448	7.168	0.686707	1
449	7.184	0.718223	1
450	7.200	0.694222	1
451	7.216	0.680144	1
452	7.232	0.769153	1
453	7.248	0.772855	1
454	7.264	0.755196	1
455	7.280	0.782144	1
456	7.296	0.800283	1
457	7.312	0.807101	1
458	7.328	0.800371	1
459	7.344	0.807574	1
460	7.360	0.770142	1
461	7.376	0.821626	1
462	7.392	0.842468	1
463	7.408	0.828751	1
464	7.424	0.833065	1
465	7.440	0.808309	1
466	7.456	0.792516	1
467	7.472	0.825587	1
468	7.488	0.808024	1
469	7.504	0.813217	1
470	7.520	0.782305	1
471	7.536	0.788350	1
472	7.552	0.797069	1
473	7.568	0.781774	1
474	7.584	0.781958	1
475	7.600	0.803549	1
476	7.616	0.843400	1
477	7.632	0.821931	1
478	7.648	0.807640	1
479	7.664	0.782252	1
480	7.680	0.795541	1
481	7.696	0.797300	1
482	7.712	0.804018	1
483	7.728	0.819874	1
484	7.744	0.846785	1
485	7.760	0.858039	1
486	7.776	0.826143	1
487	7.792	0.824341	1
488	7.808	0.842742	1
489	7.824	0.826898	1
490	7.840	0.832946	1
491	7.856	0.792046	1
492	7.872	0.767011	1
493	7.888	0.748083	1
494	7.904	0.747457	1
495	7.920	0.763164	1
496	7.936	0.786030	1
497	7.952	0.802369	1
498	7.968	0.790998	1
499	7.984	0.751900	1
500	8.000	0.746707	1
501	8.016	0.768173	1
502	8.032	0.772256	1
503	8.048	0.759741	1
504	8.064	0.783971	1
505	8.080	0.787442	1
506	8.096	0.785874	1
507	8.112	0.782255	1
508	8.128	0.785020	1
509	8.144	0.816589	1
510	8.160	0.821134	1
511	8.176	0.805269	1
512	8.192	0.789229	1
513	8.208	0.784078	1
514	8.224	0.794221	1
515	8.240	0.772410	1
516	8.256	0.782744	1
517	8.272	0.805466	1
518	8.288	0.815943	1
519	8.304	0.790510	1
520	8.320	0.805156	1
521	8.336	0.802397	1
522	8.352	0.823097	1
523	8.368	0.818790	1
524	8.384	0.804573	1
525	8.400	0.816838	1
526	8.416	0.791845	1
527	8.432	0.804622	1
528	8.448	0.800636	1
529	8.464	0.801839	1
530	8.480	0.809824	1
531	8.496	0.823243	1
532	8.512	0.808672	1
533	8.528	0.834881	1
534	8.544	0.825338	1
535	8.560	0.808448	1
536	8.576	0.801705	1
537	8.592	0.809295	1
538	8.608	0.801953	1
539	8.624	0.808587	1
540	8.640	0.787899	1
541	8.656	0.796920	1
542	8.672	0.811267	1
543	8.688	0.827967	1
544	8.704	0.829111	1
545	8.720	0.810787	1
546	8.736	0.810328	1
547	8.752	0.813207	1
548	8.768	0.823880	1
549	8.784	0.804089	1
550	8.800	0.804054	1
551	8.816	0.816025	1
552	8.832	0.795167	1
553	8.848	0.809240	1
554	8.864	0.835175	1
555	8.880	0.806686	1
556	8.896	0.818947	1
557	8.912	0.835280	1
558	8.928	0.803809	1
559	8.944	0.835819	1
560	8.960	0.811081	1
561	8.976	0.782778	1
562	8.992	0.810717	1
563	9.008	0.769056	1
564	9.024	0.762297	1
565	9.040	0.750315	1
566	9.056	0.750475	1
567	9.072	0.770124	1
568	9.088	0.782002	1
569	9.104	0.808855	1
570	9.120	0.785174	1
571	9.136	0.769347	1
572	9.152	0.750184	1
573	9.168	0.733229	1
574	9.184	0.745234	1
575	9.200	0.758313	1
576	9.216	0.824299	1
577	9.232	0.819101	1
578	9.248	0.780383	1
579	9.264	0.759915	1
580	9.280	0.753933	1
581	9.296	0.842216	1
582	9.312	0.826025	1
583	9.328	0.745011	1
584	9.344	0.717817	1
585	9.360	0.775632	1
586	9.376	0.764897	1
587	9.392	0.737117	1
588	9.408	0.734364	1
589	9.424	0.794554	1
590	9.440	0.804748	1
591	9.456	0.786602	1
592	9.472	0.790553	1
593	9.488	0.805081	1
594	9.504	0.819540	1
595	9.520	0.808784	1
596	9.536	0.798213	1
597	9.552	0.779411	1
598	9.568	0.814116	1
599	9.584	0.811073	1
600	9.600	0.754115	1
601	9.616	0.749999	1
602	9.632	0.761120	1
603	9.648	0.795025	1
604	9.664	0.796658	1
605	9.680	0.783602	1
606	9.696	0.800590	1
607	9.712	0.844286	1
608	9.728	0.850898	1
609	9.744	0.838136	1
610	9.760	0.817689	1
611	9.776	0.790585	1
612	9.792	0.746813	1
613	9.808	0.740416	1
614	9.824	0.706042	1
615	9.840	0.751039	1
616	9.856	0.745608	1
617	9.872	0.779731	1
618	9.888	0.765513	1
619	9.904	0.778459	1
620	9.920	0.849197	1
621	9.936	0.844463	1
622	9.952	0.779067	1
623	9.968	0.815246	1
624	9.984	0.811266	1
625	10.000	0.782575	1
626	10.016	0.754257	1
627	10.032	0.754072	1
628	10.048	0.754502	1
629	10.064	0.768019	1
630	10.080	0.752553	1
631	10.096	0.801605	1
632	10.112	0.837574	1
633	10.128	0.828398	1
634	10.144	0.768416	1
635	10.160	0.753406	1
636	10.176	0.795228	1
637	10.192	0.799185	1
638	10.208	0.803228	1
639	10.224	0.749736	1
640	10.240	0.759865	1
641	10.256	0.741270	1
642	10.272	0.749112	1
643	10.288	0.770426	1
644	10.304	0.754110	1
645	10.320	0.765352	1
646	10.336	0.827267	1
647	10.352	0.831281	1
648	10.368	0.792103	1
649	10.384	0.831509	1
650	10.400	0.833237	1
651	10.416	0.799385	1
652	10.432	0.791125	1
653	10.448	0.810327	1
654	10.464	0.834775	1
655	10.480	0.834033	1
656	10.496	0.818101	1
657	10.512	0.800623	1
658	10.528	0.763409	1
659	10.544	0.738403	1
660	10.560	0.726229	1
661	10.576	0.738669	1
662	10.592	0.719939	1
663	10.608	0.795929	1
664	10.624	0.788955	1
665	10.640	0.810274	1
666	10.656	0.809370	1
667	10.672	0.776077	1
668	10.688	0.732315	1
669	10.704	0.753794	1
670	10.720	0.758467	1
671	10.736	0.762717	1
672	10.752	0.766513	1
673	10.768	0.797573	1
674	10.784	0.782060	1
675	10.800	0.758654	1
676	10.816	0.810086	1
677	10.832	0.825188	1
678	10.848	0.842395	1
679	10.864	0.825607	1
680	10.880	0.804611	1
681	10.896	0.789298	1
682	10.912	0.784987	1
683	10.928	0.796360	1
684	10.944	0.798161	1
685	10.960	0.758901	1
686	10.976	0.789382	1
687	10.992	0.806597	1
688	11.008	0.802241	1
689	11.024	0.797680	1
690	11.040	0.787412	1
691	11.056	0.813463	1
692	11.072	0.811261	1
693	11.088	0.792474	1
694	11.104	0.782114	1
695	11.120	0.828729	1
696	11.136	0.832202	1
697	11.152	0.811337	1
698	11.168	0.813145	1
699	11.184	0.808383	1
700	11.200	0.775098	1
701	11.216	0.796906	1
702	11.232	0.799082	1
703	11.248	0.772771	1
704	11.264	0.788567	1
705	11.280	0.792878	1
706	11.296	0.801069	1
707	11.312	0.772941	1
708	11.328	0.819632	1
709	11.344	0.832106	1
710	11.360	0.809659	1
711	11.376	0.789925	1
712	11.392	0.809608	1
713	11.408	0.822246	1
714	11.424	0.815698	1
715	11.440	0.843755	1
716	11.456	0.832967	1
717	11.472	0.828365	1
718	11.488	0.816935	1
719	11.504	0.824583	1
